"","FECHA","TIENDA","CODPROD","DESCRIPCION","MEDIDA","UNI","VENTA","PRECIOUNITARIO","ACABADO","dia"
"157",2018-10-03,"Z12 TIENDA ZONA 12","04422","TUBO 1-3/4 x 1-3/4 x 0.046","21",2,294.64,147.32,"NE","mié\."
"158",2018-10-03,"Z12 TIENDA ZONA 12","04517","ANGULAR 1/2 x 3/8 x 1/16","21",1,23.13,23.13,"NE","mié\."
"159",2018-10-03,"Z12 TIENDA ZONA 12","06038","CABEZAL DE CELOSIA NT","21",1,78.66,78.66,"BL","mié\."
"160",2018-10-03,"Z12 TIENDA ZONA 12","06366","JAMBA HOJA VC-2000","21",3,294.64,98.2133333333333,"BL","mié\."
"161",2018-10-03,"Z12 TIENDA ZONA 12","06396","RETICULA NT","21",9,184.82,20.5355555555556,"BL","mié\."
"162",2018-10-03,"Z12 TIENDA ZONA 12","06036","SILLAR DE CELOSIA NT","21",1,78.04,78.04,"BL","mié\."
"163",2018-10-03,"Z12 TIENDA ZONA 12","07366","JAMBA HOJA VC-2000","21",2,389.29,194.645,"MRT","mié\."
"164",2018-10-03,"Z12 TIENDA ZONA 12","1","GASTO ADMINISTRATIVO CHEQ RECHAZADO","01",1,17.14,17.14,NA,"mié\."
"165",2018-10-03,"Z12 TIENDA ZONA 12","12-1512-7","GOMA BASE RIGIDA S/1400","01",662,2483.75,3.75188821752266,NA,"mié\."
"166",2018-10-03,"Z12 TIENDA ZONA 12","12-3205-0","FELPA ALMA DE PLASTICO 7X5 S/3600","01",25,31.25,1.25,NA,"mié\."
"167",2018-10-03,"Z12 TIENDA ZONA 12","12-7151-7","KIT PERIMETRAL S/4600","01",6,361.88,60.3133333333333,NA,"mié\."
"168",2018-10-03,"Z12 TIENDA ZONA 12","12-7153-0","RUEDA TANDEM GRADUABLE S/4600","01",4,169.29,42.3225,NA,"mié\."
